date,NGDP,RGDP,GNPDEF
1875-12-31,1.0,1.0,1.0
1876-12-31,1.0395348837209302,1.069345579793341,0.9726443768996961
1877-12-31,1.0511627906976744,1.1669345579793342,0.9007092198581561
1878-12-31,1.0383720930232558,1.2332950631458095,0.8419452887537995
1879-12-31,1.3127906976744186,1.4606199770378876,0.8991894630192503
1880-12-31,1.3930232558139537,1.546268656716418,0.9012158054711247
1881-12-31,1.466279069767442,1.590585533869116,0.9219858156028369
1882-12-31,1.5395348837209304,1.6539609644087256,0.9311043566362716
1883-12-31,1.4593023255813955,1.6174512055109072,0.9027355623100305
1884-12-31,1.3825581395348838,1.6482204362801378,0.8389057750759878
1885-12-31,1.3767441860465117,1.6842709529276694,0.8181357649442755
1886-12-31,1.416279069767442,1.7733639494833526,0.7988855116514691
1887-12-31,1.4709302325581397,1.8078071182548796,0.8140830800405269
1888-12-31,1.5034883720930232,1.7843857634902411,0.8429584599797366
1889-12-31,1.5406976744186047,1.8482204362801378,0.8343465045592705
1890-12-31,1.6325581395348836,1.9944890929965557,0.8186423505572442
1891-12-31,1.6906976744186046,2.153386911595867,0.7857142857142858
1892-12-31,1.786046511627907,2.255109070034443,0.7922998986828775
1893-12-31,1.5186046511627909,1.9706084959816303,0.7710233029381967
1894-12-31,1.5988372093023258,2.182089552238806,0.7330293819655522
1895-12-31,1.7418604651162792,2.3956371986222735,0.7269503546099291
1896-12-31,1.6058139534883722,2.2287026406429393,0.720871327254306
1897-12-31,1.8720930232558142,2.5699196326062,0.7289766970618036
1898-12-31,1.85,2.52743972445465,0.7254305977710234
1899-12-31,2.2488372093023257,2.835361653272101,0.7933130699088147
1900-12-31,2.244186046511628,2.851894374282434,0.7872340425531915
1901-12-31,2.5813953488372094,3.235591274397245,0.8024316109422494
1902-12-31,2.7232558139534886,3.22089552238806,0.8459979736575481
1903-12-31,2.688372093023256,3.301492537313433,0.8145896656534954
1904-12-31,2.869767441860465,3.3814006888633754,0.8490374873353598
1905-12-31,3.1965116279069767,3.7249138920780713,0.8586626139817629
1906-12-31,3.661627906976744,4.095981630309988,0.8941236068895644
1907-12-31,3.511627906976744,3.8447761194029852,0.9138804457953394
1908-12-31,3.518604651162791,3.843168771526981,0.9159067882472137
1909-12-31,4.123255813953489,4.298507462686567,0.9594731509625128
1910-12-31,4.0058139534883725,4.268886337543054,0.9387031408308005
1911-12-31,4.317441860465117,4.463145809414467,0.9675785207700103
1912-12-31,4.686046511627906,4.7129735935706085,0.9944275582573455
1913-12-31,4.6034883720930235,4.636050516647532,0.9934143870314084
1914-12-31,4.366279069767442,4.296440872560276,1.0167173252279635
1915-12-31,4.986046511627907,4.656946039035591,1.070921985815603
1916-12-31,6.037209302325582,4.7908151549942595,1.260891590678825
1917-12-31,7.5453488372093025,5.044776119402985,1.49645390070922
1918-12-31,9.512790697674419,5.610792192881745,1.696048632218845
1919-12-31,10.515116279069769,5.268197474167624,1.99645390070922
1920-12-31,9.348837209302326,4.611251435132032,2.028368794326241
1921-12-31,8.182558139534885,4.799540757749713,1.7056737588652484
1922-12-31,9.194186046511627,5.563030998851895,1.6534954407294835
1923-12-31,9.875581395348838,5.825717566016074,1.696048632218845
1924-12-31,10.156976744186046,6.029850746268657,1.684903748733536
1925-12-31,11.213953488372093,6.537313432835821,1.716312056737589
1926-12-31,11.393023255813954,6.81308840413318,1.67274569402229
1927-12-31,10.916279069767441,6.594718714121699,1.6560283687943262
1928-12-31,11.530232558139534,6.952927669345581,1.6590678824721379
1929-12-31,11.734883720930233,7.082663605051665,1.657548125633232
1930-12-31,9.624418604651163,6.1561423650975895,1.5638297872340428
1931-12-31,8.033720930232558,5.720780711825488,1.4047619047619049
1932-12-31,6.345348837209302,5.031458094144662,1.2613981762917934
1933-12-31,6.756976744186047,5.098737083811711,1.3257345491388046
1934-12-31,7.615116279069767,5.44569460390356,1.3986828774062818
1935-12-31,8.904651162790698,6.3049368541905855,1.4128672745694024
1936-12-31,10.28953488372093,7.154535017221584,1.4387031408308004
1937-12-31,9.918604651162791,6.76142365097589,1.4675785207700103
1938-12-31,10.480232558139535,7.24110218140069,1.447821681864235
1939-12-31,11.412790697674419,7.806199770378875,1.4625126646403244
1940-12-31,12.432558139534885,8.34764638346728,1.4898682877406282
1941-12-31,16.13953488372093,9.790585533869116,1.6489361702127658
1942-12-31,20.066279069767443,11.313892078071184,1.7740628166160084
1943-12-31,23.524418604651164,12.733639494833524,1.8480243161094225
1944-12-31,25.18953488372093,13.402066590126292,1.8804457953394125
1945-12-31,23.117441860465117,11.693226176808267,1.977710233029382
1946-12-31,26.25813953488372,10.877841561423653,2.414387031408308
1947-12-31,28.372093023255815,10.92146957520092,2.5987841945288754
1948-12-31,30.918604651162788,11.433754305396096,2.70516717325228
1949-12-31,29.860465116279073,11.274626865671642,2.6494427558257345
1950-12-31,35.616279069767444,12.7646383467279,2.7912867274569404
1951-12-31,39.44186046511628,13.52215843857635,2.9179331306990886
1952-12-31,41.86046511627907,14.106314580941449,2.9685916919959476
1953-12-31,42.220930232558146,14.203673938002298,2.9736575481256335
1954-12-31,43.674418604651166,14.422273249138922,3.0293819655521785
1955-12-31,47.79069767441861,15.370378874856488,3.110435663627153
1956-12-31,50.24418604651163,15.576119402985077,3.2269503546099294
1957-12-31,51.627906976744185,15.588978185993112,3.3130699088145903
1958-12-31,54.30232558139535,16.12537313432836,3.368794326241135
1959-12-31,57.55813953488372,16.715040183696903,3.444782168186424
1960-12-31,58.697674418604656,16.798851894374284,3.495440729483283
1961-12-31,63.09302325581396,17.875545350172217,3.5309017223910844
1962-12-31,66.77906976744185,18.547416762342138,3.601823708206687
1963-12-31,71.20930232558139,19.476463834672792,3.6575481256332325
1964-12-31,75.44186046511628,20.352238805970153,3.7082066869300916
1965-12-31,83.39534883720931,21.957979334098738,3.799392097264438
1966-12-31,90.1046511627907,22.87049368541906,3.9412360688956434
1967-12-31,95.73255813953489,23.60137772675086,4.057750759878419
1968-12-31,104.68604651162791,24.598851894374285,4.257345491388045
1969-12-31,111.86046511627907,24.92606199770379,4.48936170212766
1970-12-31,117.32558139534885,24.90470723306544,4.712765957446809
1971-12-31,128.58139534883722,26.071871412169923,4.933637284701115
1972-12-31,143.43023255813955,27.894144661308843,5.143870314083081
1973-12-31,160.08139534883722,29.07118254879449,5.508611955420466
1974-12-31,171.37209302325581,28.250746268656716,6.06838905775076
1975-12-31,188.58139534883722,28.87049368541906,6.534447821681865
1976-12-31,206.1046511627907,30.150631458094146,6.83839918946302
1977-12-31,231.26744186046514,31.883122847301955,7.256332320162109
1978-12-31,265.30232558139534,33.717566016073484,7.871327254305978
1979-12-31,291.0348837209303,34.19931113662457,8.513171225937185
1980-12-31,318.13953488372096,33.93570608495982,9.378419452887538
1981-12-31,352.08139534883725,34.47301951779564,10.217325227963526
1982-12-31,361.5813953488372,33.956371986222734,10.652482269503547
1983-12-31,399.0348837209302,36.11251435132033,11.05369807497467
